Id,Title,Place,Description,Site Url,Rating,Favorites Count,Comments Count,Publication Date
35,Премьера фильма «Хоббит: нежданное путешествие»,,"<p>Невероятный шанс вернуться в Средиземье совсем скоро получат поклонники Толкина. В прокат выходит долгожданный фильм Питера Джексона <strong>«Хоббит: неожиданное путешествие»</strong>.</p>
",https://kudago.com/all/news/premiera-hobbit/,0.5,0,0,1351509149
68,Переименованные станции метро,,"<p>Многие московские станции за время своего существования успели не только видоизмениться, но и поменять свое название!</p>
",https://kudago.com/msk/news/pereimenovannye-stancii-metro/,0.5,0,0,1351509149
44,Москва в масштабе 1:100,,"<p>Город с высоты 200 метров башни «Федерация».</p>
",https://kudago.com/msk/news/moskva-v-masshtabe-1100/,0.5,0,0,1351509149
52,Москва на картинах,,"<p>Москва на картинах современных художников.</p>
",https://kudago.com/msk/news/moskva-na-kartinah/,0.5,0,0,1351509149
30,Веб-камеры установят по всей Москве,,"<p>Теперь камеры будут наблюдать за вами даже в подъездах</p>
",https://kudago.com/msk/news/veb-kamery-msk/,0.5,0,0,1351509149
65,Бесплатный вход в музеи столицы 1 и 9 мая,,"<p>Подарок для москвичей на майские праздники!</p>
",https://kudago.com/msk/news/muzei-1-i-9-maya/,0.5,0,0,1351509149
64,Три часа ночи,,"<p><img src=""http://kudago.com/media/images/news/tri-chasa-nochi.jpg"" alt=""Сегодня в 3 часа ночи сосед позвонил в дверь — У меня от страха чуть дрель из рук не выпала!"" title=""Сегодня в 3 часа ночи сосед позвонил в дверь — У меня от страха чуть дрель из рук не выпала!""></p>
",https://kudago.com/all/news/tri-chasa-nochi/,0.5,0,0,1351509149
12,Премьера приключенческого фильма «Жизнь Пи»,,"<p>Режиссер Энг Ли экранизировал удивительный роман Янна Мартела, наполненный остротой нестандартной ситуацией, в которой оказались герои, и глубокими размышлениями об устройстве нашего мира.</p>
",https://kudago.com/all/news/zhizn-pi/,0.5,0,0,1351509149
62,Куда пойти в первый уик-энд ноября,,"<p>Ну что же, ноябрь не за горами. И, судя по концертам, этот месяц будет крайне насыщенным и интересным! Где лучше всего разогнать осеннюю тоску, расскажет портал KudaGo!</p>
",https://kudago.com/msk/news/1-uik-end-nov/,0.5,0,0,1351509149
60,Теперь в Финляндии можно будет расплатиться рублями,,"<p>Российскую валюту официально признали в Финляндии. Теперь деньги менять необязательно — за покупки в крупных магазинах можно будет расплатиться рублями!</p>
",https://kudago.com/all/news/rubli-v-finlyandii/,0.5,0,0,1351509149
25,Экзамен в МГУ по литературе.,,"<p>Необычная работа абитуриентки с экзамена по литературе в МГУ .</p>
",https://kudago.com/msk/news/mgu-lit/,0.5,0,0,1351509149
26,Таинственные волонтеры помогают гостям столицы,,"<p>В Москве появились необычные волонтеры. Их отличительный знак - надпись на одежде «Ask me I'm local».</p>
",https://kudago.com/msk/news/proekt-wowlocal/,0.5,0,0,1351509149
